Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
brooklyn shanti,Boxout Wednesdays 001,8th March,2017,USA,New York ,,
tittsworth,Boxout Wednesdays 001,8th March,2017,USA,New York ,,
cob,Boxout Wednesdays 001,8th March,2017,UAE ,Dubai ,,
SuReal,Boxout Wednesdays 002,15th March,2017,India,New Delhi,,
MadStarBase,Boxout Wednesdays 003,22nd March,2017,India,New Delhi,beats/rap/bootlegs,
Drum Attic,Boxout Wednesdays 004,29th March ,2017,India ,New Delhi,techno,
swaggamuffin,Boxout Wednesdays 005,5th April,2017,India ,New Delhi,,
tbonestakez,Boxout Wednesdays 005,5th April ,2017,India ,Mumbai,,
thegreybox,Boxout Wednesdays 006,12th April,2017,India ,New Delhi,beats,
DJ MoCity,Boxout Wednesdays 006,12th April,2017,India ,New Delhi,Hip hop,
bjørn torske,Boxout Wednesdays 007,19th April,2017,Norway,Tromsø,,
moniker,Boxout Wednesdays 007,19th April,2017,India ,New Delhi,,
philip tbc,Boxout Wednesdays 008,3rd May ,2017,checu replblic,prague ,,
tod,Boxout Wednesdays 008,3rd May,2017,,,,
Drum Attic,Boxout Wednesdays 009,10th May ,2017,India ,New Delhi,beats/rap/bootlegs,
rohan kalé,Boxout Wednesdays 009,10th May,2017,India ,New Delhi,,
frame/frame,Boxout Wednesdays 010,17th May,2017,,,,
mistress,Boxout Wednesdays 010,17th May,2017,,,,
MadStarBase,Boxout Wednesdays 011,24th May,2017,,,,
thegreybox,Boxout Wednesdays 011,24th May,2017,,,,
eng.,Boxout Wednesdays 012,31st May,2017,,,,
moniker,Boxout Wednesdays 012,31st May,2017,,,,
agent,Boxout Wednesdays 013,7th June,2017,India ,Goa,world,
worms cottage ,Boxout Wednesdays 013,7th June,2017,,,,
up7t,Boxout Wednesdays 014,14th June,2017,,,,
corridors,Boxout Wednesdays 014,14th June,2017,,,,
film,Boxout Wednesdays 015,21st June,2017,India ,New Delhi,electronic/dance,
uday dass,Boxout Wednesdays 015,21st June,2017,,,,
shft,Boxout Wednesdays 016,28th June ,2017,,,,
décima,Boxout Wednesdays 016,28th June ,2017,,,,
"Ez Rizer, Seven Seven",Boxout Wednesdays 017,5th July,2017,,,,
Uday Kapur,Boxout Wednesdays 017,5th July,2017,,,,
Diggy Dang,Boxout Wednesdays 018,12th July,2017,,,,
Ase,Boxout Wednesdays 018,12th July,2017,India ,New Delhi,,
Profound ,Boxout Wednesdays 019,19th July ,2017,,,,
Midland Sparks,Boxout Wednesdays 019,19th July,2017,,,,
BigFat,Boxout Wednesdays 020,26th July ,2017,India,Mumbai,dubstep,
DJ MoCity,Boxout Wednesdays 020,26th July ,2017,,,,
Stalvart John,Boxout Wednesdays 021,2nd Aug,2017,India ,Bangalore,disco,
N*hilate,Boxout Wednesdays 021,2nd Aug,2017,,,,
Nuphlo ,Boxout Wednesdays 022,9th Aug ,2017,,,,
Komplex,Boxout Wednesdays 022,9th Aug,2017,,,,
dreamstates,Boxout Wednesdays 023,16th Aug,2017,India ,Mumbai,club,
AGENT,Boxout Wednesdays 023,16th Aug,2017,,,,
rohan kale,Boxout Wednesdays 024,23rd Aug ,2017,,,,
thegreybox,Boxout Wednesdays 024,23rd Aug,2017,,,,
Neal_ess,Boxout Wednesdays 024,23rd Aug,2017,,,,
Vridian Music ,Boxout Wednesdays 025,30th Aug,2017,,,,
frame/frame,Boxout Wednesdays 025,30th Aug,2017,,,,
Drum Attic,Boxout Wednesdays 025,30th Aug,2017,India ,New Delhi,techno,
Deadbeat ,Boxout Wednesdays 026,6th Sep,2017,,,,
FILM,Boxout Wednesdays 026,6th Sep,2017,India ,New Delhi,BigFat,
2Sensitive ,Boxout Wednesdays 027,13th Sep,2017,,,,
Daisho,Boxout Wednesdays 027,13th Sep,2017,,,,
Jogn1st,Boxout Wednesdays 028,20th Sep,2017,,,,
DJ Skip,Boxout Wednesdays 028,20th Sep,2017,,,,
Sunara,Boxout Wednesdays 029,27th Sep,2017,,,,
Asvajit,Boxout Wednesdays 029,27th Sep,2017,,,,
Tim Parker,Boxout Wednesdays 030,4th Oct,2017,,,,
UP78T,Boxout Wednesdays 030,4th Oct,2017,,,,
Uday Kapur,Boxout Wednesdays 030,4th Oct,2017,,,,
MC Soopy,Boxout Wednesdays 030,4th Oct,2017,,,,
Luna Toke ,Boxout Wednesdays 031,11th Oct,2017,,,,
AGENT,Boxout Wednesdays 031,11th Oct,2017,,,,
Deep Brown,Boxout Wednesdays 032,25th Oct,2017,,,,
Rohan Kale,Boxout Wednesdays 032,25th Oct,2017,,,,
Seb Wildblood,Boxout Wednesdays 033,1st Nov,2017,,,,
Suchi,Boxout Wednesdays 033,1st Nov,2017,,,,
Clap!Clap!,Boxout Wednesdays 034,8th Nov ,2017,,,,
Oceantied ,Boxout Wednesdays 034,8th Nov ,2017,,,,
Kumail ,Boxout Wednesdays 034,8th Nov ,2017,,,,
Venuq,Boxout Wednesdays 034,8th Nov ,2017,,,,
Compa ,Boxout Wednesdays 035,15th Nov,2017,,,,
Lacuna,Boxout Wednesdays 035,15th Nov,2017,,,,
MadStarBase,Boxout Wednesdays 036,22nd Nov ,2017,,,,
thegreybox,Boxout Wednesdays 036,22nd Nov ,2017,,,,
The Whooligan ,Boxout Wednesdays 037,29th Nov,2017,,,,
DJ MoCity,Boxout Wednesdays 037,29th Nov,2017,,,,
She's Drunk,Boxout Wednesdays 038,6th Dec,2017,,,,
Profound ,Boxout Wednesdays 038,6th Dec,2017,,,,
Essarai ,Boxout Wednesdays 039,13th Dec,2017,,,,
Maximum Haze,Boxout Wednesdays 039,13th Dec,2017,,,,
Will Davenport,Boxout Wednesdays 039,13th Dec,2017,,,,
Boxout Soundsystem,Boxout Wednesdays 040,20th Dec,2017,,,,
DJ Prozac,Boxout Wednesdays 041,27th Dec,2017,,,,
Kaleekarma,Boxout Wednesdays 041,27th Dec,2017,,,,
Drum Attic,Boxout Wednesdays 042,3rd Jan,2018,,,,
Mad Professor ,Boxout Wednesdays 043,10th Jan ,2018,,,,
Johnny Osbourne ,Boxout Wednesdays 044,17th Jan,2018,,,,
Soul Stereo,Boxout Wednesdays 044,17th Jan,2018,,,,
Adam Rahman,Boxout Wednesdays 045,24th Jan ,2018,,,,
Sindhi Curry,Boxout Wednesdays 046,31st Jan,2018,,,,
ENG.,Boxout Wednesdays 047,7th Feb ,2018,,,,
Rohan Kale,Boxout Wednesdays 048,14th Feb,2018,,,,
