Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
brooklyn shanti,Boxout Wednesdays 001,8th March,2017,USA,New York ,"Hip-Hop, Global Bass, Dancehall, Reggae",
tittsworth,Boxout Wednesdays 001,8th March,2017,USA,New York ,"Baltimore, Jersey Club, Moombahton",
cob,Boxout Wednesdays 001,8th March,2017,UAE ,Dubai ,"world music, dubstep, bass ",
SuReal,Boxout Wednesdays 002,15th March,2017,India,New Delhi,"Dancehall, hip-hop, trap, Moombahton",
MadStarBase,Boxout Wednesdays 003,22nd March,2017,India,New Delhi,"hip-hop, dancehall , mollywood ",
Drum Attic,Boxout Wednesdays 004,29th March ,2017,India ,Goa,Techno ,
swaggamuffin,Boxout Wednesdays 005,5th April,2017,India ,New Delhi,"grime, dancehall, afrobeats",
tbonestakez,Boxout Wednesdays 005,5th April ,2017,India ,Mumbai,"hip-hop, dubste",
thegreybox,Boxout Wednesdays 006,12th April,2017,India ,New Delhi,"hip-hop, beats, club",
DJ MoCity,Boxout Wednesdays 006,12th April,2017,India ,New Delhi,"Reggae, Dancehall, Bass, Grime, Arabic ",
bjørn torske,Boxout Wednesdays 007,19th April,2017,Norway,Bergen,"House, Disco, Nu-Disco ",
moniker,Boxout Wednesdays 007,19th April,2017,India ,New Delhi,"House, Disco, Bass, Club ",
philip tbc,Boxout Wednesdays 008,3rd May ,2017,Czech Republic,Prague,"DnB, Jungle, Bass, Halftime, Breaks ",
T.O.D ,Boxout Wednesdays 008,3rd May,2017,India ,New Delhi,"Techno, House, Minimal, Progressive House",
Drum Attic,Boxout Wednesdays 009,10th May ,2017,India ,Goa,Techno ,
rohan kalé,Boxout Wednesdays 009,10th May,2017,India ,New Delhi,"DnB, Jungle, Grime, Dubstep, Club ",
frame/frame,Boxout Wednesdays 010,17th May,2017,India,New Delhi ,"Techno, IDM, Bass ",
mistress,Boxout Wednesdays 010,17th May,2017,India,New Delhi ,"House, Disco, Tech-House ",
MadStarBase,Boxout Wednesdays 011,24th May,2017,India,New Delhi ,"hip-hop, dancehall , mollywood ",
thegreybox,Boxout Wednesdays 011,24th May,2017,India,New Delhi ,"hip-hop, beats, club",
eng.,Boxout Wednesdays 012,31st May,2017,India,New Delhi ,"House, Disco, Bass, Club ",
moniker,Boxout Wednesdays 012,31st May,2017,India,New Delhi ,"House, Disco, Bass, Club ",
agent,Boxout Wednesdays 013,7th June,2017,India ,Goa,"world music, lounge ",
worms cottage ,Boxout Wednesdays 013,7th June,2017,India,Bengaluru,"Electronica, Downtempo, IDM, Ambient",
up7t,Boxout Wednesdays 014,14th June,2017,India,New Delhi ,"Grime, Dubstep, UKG, Breaks",
corridors,Boxout Wednesdays 014,14th June,2017,India,New Delhi,"DnB, Elctronica, Experimental, Bass",
film,Boxout Wednesdays 015,21st June,2017,India ,New Delhi,"Techno, Electro, EBM, Breaks, Bass",
uday dass,Boxout Wednesdays 015,21st June,2017,India,New Delhi,"House, Disco, Funk, Indie Dance",
shft,Boxout Wednesdays 016,28th June ,2017,India,Goa,"Techno, Minimal, Progressive House, Deep House",
décima,Boxout Wednesdays 016,28th June ,2017,India,New Delhi,"Techno, House, Electro, Breaks",
